index,value
0,0.002381025
1,0.002567429
2,0.002651141
3,2501.846924
4,2494.975342
5,2507.823486
6,83.288414
7,78.59011841
8,72.43545532
9,2498.376221
10,2492.012451
11,2503.255859
12,42.71303558
13,17.37022591
14,14.49520302
15,2494.827881
16,2490.513184
17,2503.500244
18,137.2712555
19,126.0960922
20,90.68647003
21,2442.168457
22,2483.523926
23,2464.341553
24,429.0784302
25,284.5916138
26,331.289093
27,2510.396973
28,2511.289551
29,2511.187744
30,2510.719971
31,2511.47168
32,2511.447266
33,117.6267166
34,76.08324432
35,75.61799622
36,2388.401611
37,2452.876465
38,2433.001465
39,64.81472015
40,113.4242783
41,57.23561478
42,2425.963623
43,2466.947266
44,2451.127441
45,2423.783936
46,2472.568848
47,2446.165039
48,2493.849365
49,2489.204102
50,2505.112061
51,2423.426758
52,2459.943604
53,2449.943115
54,61.68099976
55,93.79788208
56,53.85732269
57,59.98730469
58,94.08343506
59,71.52659607
60,2422.165527
61,2452.034912
62,2447.600342
63,49.38356018
64,45.51673889
65,17.53676605
66,25.48843002
67,29.95254326
68,30.48348045
69,2423.134521
70,2440.070557
71,2443.30835
72,0.048319265
73,0.049665671
74,0.044325665
75,2422.888672
76,2440.480957
77,2443.206543
78,8.78E-05
79,1.19E-06
80,8.00E-07
81,2414.290283
82,2471.748291
83,2449.938965
84,123.8206863
85,77.53927612
86,78.06058502
87,80.94122314
88,89.78908539
89,65.90001678
90,32.513237
91,57.48411179
92,21.08993721
93,2505.284424
94,2492.656494
95,2508.462891
96,69.43868256
97,69.90099335
98,65.35136414
99,81.08576965
100,87.01372528
101,78.25992584
102,2512.246582
103,2499.303955
104,2514.044678
105,2457.139648
106,2491.212402
107,2475.280518
108,24.24627876
109,16.25328255
110,7.369252682
